,age,daily_screen_time_min,social_media_time_min,negative_interactions_count,positive_interactions_count,sleep_hours,physical_activity_min,anxiety_level,stress_level,mood_level
age,1.0,-0.8671966154172226,-0.5912347652767893,-0.42218632757577673,-0.45039673083758186,0.8643859995516339,0.8663042712959964,-0.5674434492272008,-0.748258530695409,0.6011221410713472
daily_screen_time_min,-0.8671966154172226,1.0,0.6808392007897778,0.4573614964591889,0.5242032428693731,-0.9985533655464311,-0.9996273658764369,0.6291850483758503,0.8359552425100563,-0.6949365414827862
social_media_time_min,-0.5912347652767893,0.6808392007897778,1.0,0.7607599889702875,0.854727590272329,-0.6797929744220657,-0.6806183673264867,0.8969635665330986,0.8828733404041021,-0.8672129489346433
negative_interactions_count,-0.42218632757577673,0.4573614964591889,0.7607599889702875,1.0,0.5370678349935041,-0.45592961240625224,-0.45728313071340165,0.8061030353782496,0.7529601470092316,-0.7534605621833708
positive_interactions_count,-0.45039673083758186,0.5242032428693731,0.854727590272329,0.5370678349935041,1.0,-0.5234043753619745,-0.5241239445262704,0.7366638058362747,0.6926611203479376,-0.6827426253085549
sleep_hours,0.8643859995516339,-0.9985533655464311,-0.6797929744220657,-0.45592961240625224,-0.5234043753619745,1.0,0.9980569292860901,-0.6278289547727527,-0.8345120249659603,0.6941236155093876
physical_activity_min,0.8663042712959964,-0.9996273658764369,-0.6806183673264867,-0.45728313071340165,-0.5241239445262704,0.9980569292860901,1.0,-0.6288796786648855,-0.8359093020792692,0.6948377065792598
anxiety_level,-0.5674434492272008,0.6291850483758503,0.8969635665330986,0.8061030353782496,0.7366638058362747,-0.6278289547727527,-0.6288796786648855,1.0,0.8998878137421822,-0.9036287312795425
stress_level,-0.748258530695409,0.8359552425100563,0.8828733404041021,0.7529601470092316,0.6926611203479376,-0.8345120249659603,-0.8359093020792692,0.8998878137421822,1.0,-0.9355363265592528
mood_level,0.6011221410713472,-0.6949365414827862,-0.8672129489346433,-0.7534605621833708,-0.6827426253085549,0.6941236155093876,0.6948377065792598,-0.9036287312795425,-0.9355363265592528,1.0
